province,year,avg_temp,max_temp,temp_anomaly
Adana,2009,19.26,29.34,-0.41
Adana,2010,20.27,30.88,0.6
Adana,2011,18.43,29.47,-1.24
Adana,2012,19.14,30.22,-0.53
Adana,2013,19.2,29.59,-0.47
Adana,2014,19.68,29.42,0.01
Adana,2015,19.53,29.86,-0.14
Adana,2016,19.82,30.08,0.15
Adana,2017,19.38,30.19,-0.29
Adana,2018,20.53,29.76,0.86
Adana,2019,19.8,29.17,0.13
Adana,2020,19.88,29.31,0.21
Adana,2021,20.21,30.4,0.54
Adana,2022,19.69,29.41,0.02
Adana,2023,20.26,30.43,0.59
Adıyaman,2009,15.76,29.41,-0.66
Adıyaman,2010,17.57,31.66,1.15
Adıyaman,2011,15.19,30.38,-1.23
Adıyaman,2012,15.86,30.37,-0.56
Adıyaman,2013,15.91,29.63,-0.51
Adıyaman,2014,16.94,30.65,0.52
Adıyaman,2015,16.29,30.31,-0.13
Adıyaman,2016,16.55,30.92,0.13
Adıyaman,2017,16.13,31.02,-0.29
Adıyaman,2018,17.2,30.13,0.78
Adıyaman,2019,16.28,29.89,-0.14
Adıyaman,2020,16.54,30.6,0.12
Adıyaman,2021,16.83,30.73,0.41
Adıyaman,2022,16.68,30.13,0.26
Adıyaman,2023,16.61,31.15,0.19
Afyonkarahisar,2009,11.41,22.24,-0.27
Afyonkarahisar,2010,12.96,25.86,1.28
Afyonkarahisar,2011,10.14,23.42,-1.54
Afyonkarahisar,2012,11.21,24.49,-0.47
Afyonkarahisar,2013,11.4,22.26,-0.28
Afyonkarahisar,2014,12.13,23.75,0.45
Afyonkarahisar,2015,11.16,22.54,-0.52
Afyonkarahisar,2016,12.21,23.96,0.53
Afyonkarahisar,2017,11.2,23.59,-0.48
Afyonkarahisar,2018,12.49,22.61,0.81
Afyonkarahisar,2019,12.19,22.81,0.51
Afyonkarahisar,2020,12.32,24.66,0.64
Afyonkarahisar,2021,11.68,23.4,0.0
Afyonkarahisar,2022,10.74,22.42,-0.94
Afyonkarahisar,2023,11.93,25.18,0.25
Aksaray,2009,12.73,23.5,-0.58
Aksaray,2010,14.62,27.12,1.31
Aksaray,2011,11.58,24.99,-1.73
Aksaray,2012,12.88,25.67,-0.43
Aksaray,2013,12.7,23.61,-0.61
Aksaray,2014,13.98,26.2,0.67
Aksaray,2015,12.98,25.29,-0.33
Aksaray,2016,13.57,26.12,0.26
Aksaray,2017,13.15,26.21,-0.16
Aksaray,2018,14.72,25.81,1.41
Aksaray,2019,13.56,23.81,0.25
Aksaray,2020,13.93,26.28,0.62
Aksaray,2021,13.12,24.83,-0.19
Aksaray,2022,12.55,26.29,-0.76
Aksaray,2023,13.65,27.29,0.34
Amasya,2009,11.7,20.83,-0.66
Amasya,2010,13.16,24.36,0.8
Amasya,2011,10.6,22.2,-1.76
Amasya,2012,11.72,21.46,-0.64
Amasya,2013,11.68,21.04,-0.68
Amasya,2014,12.84,23.07,0.48
Amasya,2015,12.08,23.13,-0.28
Amasya,2016,12.29,23.21,-0.07
Amasya,2017,12.14,22.98,-0.22
Amasya,2018,13.63,22.86,1.27
Amasya,2019,12.75,21.72,0.39
