province,csri,rho,pval,significant,avg_suicide_rate,avg_events,lat,lon
Antalya,77.6,0.776,0.0007,True,4.4,0.4,36.9,30.69
Ankara,66.3,0.663,0.0071,True,3.841,0.3,39.92,32.85
Yozgat,57.2,0.572,0.0259,True,3.817,0.3,39.82,34.81
Aksaray,57.0,0.57,0.0264,True,3.75,0.3,38.37,34.04
Adana,54.9,0.549,0.0339,True,4.781,0.3,37.0,35.32
Bursa,49.5,0.495,0.0606,False,4.081,0.3,40.18,29.06
Malatya,48.9,0.489,0.0641,False,7.517,0.3,38.35,38.31
Erzincan,44.3,0.443,0.0978,False,2.433,0.2,39.75,39.5
Nevşehir,43.7,0.437,0.1034,False,3.183,0.2,38.62,34.72
Edirne,43.5,0.435,0.1052,False,6.317,0.2,41.68,26.56
Elazığ,43.5,-0.435,0.1055,False,7.167,0.2,38.67,39.22
Manisa,43.5,0.435,0.1055,False,4.448,0.2,38.62,27.43
Balıkesir,43.4,0.434,0.1059,False,5.072,0.2,39.65,27.88
Kayseri,43.3,0.433,0.1066,False,17.533,0.2,38.73,35.48
Konya,43.3,0.433,0.1066,False,4.061,0.2,37.87,32.49
Gümüşhane,41.2,0.412,0.1273,False,1.533,0.2,40.46,39.48
Afyonkarahisar,40.5,0.405,0.1347,False,8.967,0.2,38.75,30.54
Kırıkkale,40.4,0.404,0.1358,False,3.35,0.2,39.85,33.51
Samsun,39.8,0.398,0.1413,False,4.113,0.3,41.29,36.33
Düzce,37.6,-0.376,0.1674,False,2.983,0.2,40.84,31.16
Giresun,37.6,0.376,0.1669,False,3.483,0.2,40.91,38.39
Kırşehir,37.6,0.376,0.1669,False,2.967,0.2,39.15,34.17
Kırklareli,37.4,0.374,0.1699,False,4.517,0.2,41.73,27.22
Tunceli,37.3,-0.373,0.1707,False,1.95,0.2,39.1,39.55
Rize,37.3,0.373,0.1703,False,2.583,0.3,41.02,40.52
Çanakkale,37.3,0.373,0.1711,False,7.167,0.2,40.15,26.41
Bilecik,37.3,-0.373,0.1703,False,2.733,0.2,40.14,29.98
Amasya,37.2,0.372,0.1715,False,3.067,0.2,40.65,35.83
Şanlıurfa,37.2,0.372,0.1724,False,2.716,0.2,37.16,38.79
İstanbul,37.1,0.371,0.1732,False,3.07,0.2,41.01,28.95
Mersin,37.1,0.371,0.1728,False,5.224,0.2,36.8,34.63
Tekirdağ,37.1,0.371,0.1728,False,11.317,0.2,41.45,27.51
İzmir,37.1,0.371,0.1732,False,4.781,0.2,38.42,27.14
Sakarya,35.5,0.355,0.1941,False,2.68,0.3,40.77,30.39
Bitlis,35.4,0.354,0.196,False,2.967,0.3,38.4,42.11
Muğla,34.1,0.341,0.2129,False,14.517,0.2,37.21,28.36
Van,33.6,0.336,0.2204,False,4.211,0.3,38.49,43.38
Bolu,31.3,0.313,0.2561,False,3.1,0.2,40.73,31.61
Bartın,31.3,0.313,0.2561,False,2.433,0.2,41.63,32.34
Osmaniye,31.1,0.311,0.2585,False,5.25,0.3,37.07,36.25
Kocaeli,31.0,0.31,0.2615,False,3.25,0.2,40.85,29.88
Ordu,31.0,0.31,0.2602,False,7.567,0.2,40.98,37.88
Gaziantep,31.0,0.31,0.2611,False,3.528,0.3,37.06,37.38
Çorum,31.0,0.31,0.2602,False,6.483,0.2,40.55,34.95
Denizli,31.0,0.31,0.2615,False,6.13,0.2,37.77,29.09
Kastamonu,28.2,0.282,0.3078,False,4.783,0.2,41.38,33.78
Kilis,28.0,-0.28,0.3115,False,1.517,0.3,36.72,37.12
Hatay,27.9,-0.279,0.3133,False,2.684,0.3,36.4,36.34
Trabzon,25.4,-0.254,0.361,False,3.164,0.3,41.0,39.72
Burdur,25.2,0.252,0.3659,False,4.25,0.2,37.72,30.29
Sinop,24.9,0.249,0.3717,False,2.55,0.2,42.02,35.15
Kahramanmaraş,24.8,0.248,0.3722,False,10.183,0.2,37.57,36.92
Diyarbakır,24.7,0.247,0.3739,False,4.581,0.2,37.91,40.23
Niğde,22.4,-0.224,0.4226,False,4.117,0.2,37.97,34.68
Yalova,22.0,0.22,0.4315,False,2.333,0.2,40.65,29.27
Siirt,21.9,-0.219,0.4328,False,3.383,0.2,37.93,41.95
Sivas,21.9,0.219,0.4332,False,6.983,0.2,39.75,37.02
Şırnak,21.8,-0.218,0.4354,False,4.883,0.2,37.52,42.46
Uşak,21.7,0.217,0.4371,False,4.917,0.2,38.67,29.41
Adıyaman,18.8,-0.188,0.5024,False,5.65,0.2,37.76,38.27
Kars,18.7,0.187,0.504,False,4.383,0.2,40.61,43.09
Isparta,18.6,0.186,0.5059,False,6.167,0.2,37.76,30.55
Eskişehir,18.6,-0.186,0.5067,False,12.117,0.2,39.78,30.52
