province,year,suicide_count,population,suicide_rate
Adana,2009,78.0,2258718,3.453
Adıyaman,2009,22.0,400000,5.5
Afyonkarahisar,2009,27.0,400000,6.75
Ağrı,2009,21.0,400000,5.25
Amasya,2009,8.0,400000,2.0
Ankara,2009,169.0,5663322,2.984
Antalya,2009,106.0,2619832,4.046
Artvin,2009,5.0,400000,1.25
Aydın,2009,82.0,400000,20.5
Balıkesir,2009,57.0,1252591,4.551
Bilecik,2009,15.0,400000,3.75
Bingöl,2009,9.0,400000,2.25
Bitlis,2009,11.0,400000,2.75
Bolu,2009,7.0,400000,1.75
Burdur,2009,14.0,400000,3.5
Bursa,2009,98.0,3056120,3.207
Çanakkale,2009,31.0,400000,7.75
Çankırı,2009,5.0,400000,1.25
Çorum,2009,27.0,400000,6.75
Denizli,2009,62.0,1027694,6.033
Diyarbakır,2009,56.0,1756353,3.188
Edirne,2009,21.0,400000,5.25
Elazığ,2009,32.0,400000,8.0
Erzincan,2009,6.0,400000,1.5
Erzurum,2009,23.0,400000,5.75
Eskişehir,2009,34.0,400000,8.5
Gaziantep,2009,72.0,2069156,3.48
Giresun,2009,14.0,400000,3.5
Gümüşhane,2009,3.0,178288,1.683
Hakkari,2009,4.0,400000,1.0
Hatay,2009,39.0,1636938,2.382
Isparta,2009,16.0,400000,4.0
Mersin,2009,74.0,1840425,4.021
İstanbul,2009,403.0,15840900,2.544
İzmir,2009,183.0,4394694,4.164
Kars,2009,17.0,400000,4.25
Kastamonu,2009,20.0,400000,5.0
Kayseri,2009,43.0,400000,10.75
Kırklareli,2009,15.0,400000,3.75
Kırşehir,2009,14.0,400000,3.5
Kocaeli,2009,46.0,2001868,2.298
Konya,2009,74.0,2277017,3.25
Kütahya,2009,27.0,400000,6.75
Malatya,2009,29.0,400000,7.25
Manisa,2009,56.0,1429643,3.917
Kahramanmaraş,2009,22.0,400000,5.5
Mardin,2009,11.0,400000,2.75
Muğla,2009,50.0,400000,12.5
Muş,2009,19.0,400000,4.75
Nevşehir,2009,19.0,400000,4.75
Niğde,2009,17.0,400000,4.25
Ordu,2009,33.0,400000,8.25
Rize,2009,13.0,400000,3.25
Sakarya,2009,34.0,1071965,3.172
Samsun,2009,48.0,1361609,3.525
Siirt,2009,12.0,400000,3.0
Sinop,2009,11.0,400000,2.75
Sivas,2009,30.0,400000,7.5
Tekirdağ,2009,48.0,400000,12.0
Tokat,2009,25.0,400000,6.25
Trabzon,2009,19.0,817521,2.324
Tunceli,2009,11.0,400000,2.75
